category,path,canonical_path,status,size_bytes,hash_or_identity,evidence,recommended_action,risk
git_branch,origin/claude/databossx-working-command-center-6dq4ej,origin/main,likely_canonical_newest_command_center,,cc9f05f,last commit 2026-08-10; 13 commits ahead of main,review & land PR #88 (owner gate),low
git_branch,origin/cursor/section32-tournament-c305,origin/main,likely_canonical_s32_final_package_no_PR,,adc3be8,last commit 2026-08-06; 7 commits ahead of main,open draft PR or archive-tag so it is visible (owner gate),medium — only copy of FINAL_CHAMPION in GitHub
git_branch,origin/cursor/section32-best-of-best-912c,origin/main,unmerged_agent_work,,ac0b1a3,last commit 2026-08-06; 10 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section32-v10-current-data-w0hnr6,origin/main,unmerged_agent_work,,72c0ed6,last commit 2026-08-06; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-s32-gate0-recovery-52jb55,origin/main,unmerged_agent_work,,122d5dc,last commit 2026-08-03; 4 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databoss-independent-review-43j2z0,origin/main,unmerged_agent_work,,bc29a7d,last commit 2026-08-03; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/agent/provider-neutral-agent-lab,origin/main,unmerged_agent_work,,71125ff,last commit 2026-08-03; 6 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/agent/issue-78-durable-control-tower,origin/main,unmerged_agent_work,,4bb8f4f,last commit 2026-08-03; 32 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section32-gate0-execution-5w7emd,origin/main,unmerged_agent_work,,339c12b,last commit 2026-08-02; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section32-databossx-recovery-x4l8yx,origin/main,unmerged_agent_work,,2668a55,last commit 2026-08-02; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/s32-gate0-successor-3njjie,origin/main,unmerged_agent_work,,74a5ba2,last commit 2026-08-02; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-section32-recovery-ouyziy,origin/main,unmerged_agent_work,,39f1f40,last commit 2026-08-02; 8 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-control-tower-recovery-le2xg6,origin/main,unmerged_agent_work,,41f64ad,last commit 2026-08-02; 4 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-tournament-director-ot7k5d,origin/main,unmerged_agent_work,,939f62e,last commit 2026-08-01; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-command-center-build-lxt5jx,origin/main,unmerged_agent_work,,65f48d3,last commit 2026-08-01; 12 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-command-brain-alpha-gh8syu,origin/main,unmerged_agent_work,,a206c97,last commit 2026-08-01; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-code-review-rdez54,origin/main,unmerged_agent_work,,f1acfcc,last commit 2026-08-01; 3 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databoss-title-report-recovery-ns6z5i,origin/main,unmerged_agent_work,,e7ce9ab,last commit 2026-07-26; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
