Sheet,Section,Current_Condition,Required_Update,Evidence_Source,Exact_Cell_or_Range,Risk,Dependency,Decision,Reason
Overview,LAST ENTRY (Cursory Report),Displays 'Not established',Leave as 'Not established' until the refreshed Runsheet supports a value.,Overview row 50; hidden PRESENT VESTING CONTROL search-forward note,Overview!row 50 LAST ENTRY cell,HIGH,Blocked by the Runsheet refresh (Section 6) and by live county access,APPLY,Section 11 permits LAST ENTRY to be filled only when the refreshed Runsheet supports it. The Runsheet was NOT refreshed through 08/05/2026 this session. 'Not established' is the correct and honest value — retain it.
Overview,Counts strip,'8 active OGLs / 5 HBP Supported / 3 depth-limited / 11 wells / 208 Runsheet instruments',"Restate to '8 leases carried; 1 HBP supported through 2022-08 only; 5 status unresolved / face not held; 2 depth-limited status unresolved; 11 wells (5 active-coded, 6 plugged/expired); 208 Runsheet instruments'.",OGL master register (this packet); Well master register (this packet),Overview!row 41,HIGH,Depends on the OGL sheet reclassification,APPLY,"'8 active OGLs' and '5 HBP Supported' are not supported. Five of eight leases have no recorded face held; the HBP basis for every lease ends 2022-08, 47 months before the effective date."
Overview,Effective date / examiner / acreage,08/05/2026; New Horizon Energy; 640.00 acres; OK48147.001.1,No change.,"Overview rows 5-11, 50, 58","Overview!rows 5-11,50,58",LOW,None,APPLY,"Prospect number, section-township-range, county, state, acreage, effective date and examiner are internally consistent and match the task statement. Seven report tracts foot to 640.00 acres exactly."
Title,"Present-owner schedule, all 7 tracts",87 rows displayed as present mineral owners; 76 are 1949-1995 vestings with no forward search past 03/02/2023; 10 are ASSUMED named parties; 1 is a superseded 0-NMA audit row,Restore expressly unresolved wording on the 10 ASSUMED rows; add a present-status qualifier to the 76 last-record-owner rows; visually segregate the superseded audit row.,Current owner master (this packet); hidden PRESENT VESTING CONTROL sheet,"Title!rows 68-79, 85-104, 110-116, 122-141, 147-149, 155-176, 182-184",CRITICAL,Blocked for final resolution by live county/probate access,APPLY,"The workbook's own hidden PRESENT VESTING CONTROL sheet reports 'Confirmed present record owner' of 0.000000 for tracts 1, 2, 3, 5 and 7 and only 0.062500 for tracts 4 and 6. The visible Title sheet contradicts that register on every row. This is the central defect of the report."
Title,Address column,"All 87 rows carry a visible Address value: 40 historic recitals shown bare, 37 'Address not located', 10 'No address of record'",Append 'Historic recital address' to the 40 recital values. Retain the other 47 verbatim.,Address master (this packet),"Title!Address column, rows 68-184",HIGH,Live address verification blocked,APPLY,"A 1947 lease recital ('407 N. Broadway, Sayre, Oklahoma'), a 1950 deed recital ('70 Pine Street, New York City') and similar values are displayed bare in an Address column, which reads as a present address. Section 8 requires the qualifier."
Title,Leasehold summary block — Diversified address,"'1600 Corporate Drive, Birmingham, AL 35242' displayed as confirmed",Append 'current address not independently confirmed'.,Address master (this packet),Title!row 189 Comments cell,MEDIUM,Blocked by SOS/SEC access,APPLY,The task requires verification against a current official source before recommending it. Blocked this session: no live county/OCC/SOS/SEC source reachable (HTTPS 403 for every host).
Title,Leasehold summary — 15.000875% row,"Labelled 'ARITHMETIC PRODUCT ONLY / NOT WI, NOT NRI, NOT ORRI, NOT NMA'",No change.,WI master (this packet); 2340/490 Sec 1.1 and 2371/471 face reads,Title!row 191,LOW,None,APPLY,Correctly and prominently qualified. Preserve the warning adjacent and unaltered.
Title,Cursory report qualification,Full qualification present at rows 56 and 199,Add the forward-search cutoff (03/02/2023) and the production-evidence cutoff (2022-08) to the visible qualification.,Hidden PRESENT VESTING CONTROL sheet; OTC dataset note (Runsheet entry 166),"Title!rows 56, 199",HIGH,None,APPLY,"The qualification says 'as of August 5, 2026' without disclosing that the record search stops 03/02/2023 and the production evidence stops 2022-08. Those two cutoffs are the report's real currency and belong on a visible sheet."
OGL,All 8 lease rows,5 of 8 have no recorded face held; 5 carry 'HBP - Supported' or 'HBP Limited by Depth or Formation'; OGL 4 and 5 carry 'RETAINED - ACTIVE / POTENTIALLY MAINTAINED' with confidence 'Low - estimate',"Reclassify OGL 4, 5, 6, 7, 8 to STATUS UNRESOLVED. Requalify OGL 1 and OGL 3. Retain OGL 2 with a production-cutoff qualifier.",OGL master register (this packet),"OGL!rows 204-211, Current Status column",CRITICAL,Blocked by county face retrieval and live production data,APPLY,"Old leases are displayed as current without an HBP or unexpired-term basis. OGL 4's own note records that no recorded bridge to asset OK48147.001.1 or Diversified was located, yet it is shown as retained and active."
OGL,HBP evidence basis,Every HBP conclusion rests on the OTC gas series ending 2022-08,State the 2022-08 evidence cutoff on every HBP row.,Runsheet entry 166 (OTC dataset endpoint note); Well master,"OGL!HBP Status column, rows 204-211",CRITICAL,Live OTC/OCC production pull,APPLY,47 months separate the newest production evidence from the effective date. HBP at 08/05/2026 is unevidenced for every lease in the report.
