Source ID,Filename / Instrument,Book / Page,Instrument Date,Recording Date,Parties,Legal Description,Evidence Class,Packet Completeness,Reviewer Status,Conclusions Affected
CUST-01,Patent 3/469,Patent 3/469,1907-03-22,1907-06-08,United States to Cornelius B. Cornelius,NE/4 Sec 32 (160 ac),Operative Recorded Original,Complete,VERIFIED,Proves Tract 1 sovereign inception.
CUST-02,Final Receiver Receipt 3894,Image 0005,1905-05-04,1905-05-12,U.S. Land Office to Herman Stevens,NW/4 Sec 32 (160 ac),Recorded Image,Partial (Receipt only; patent open),VERIFIED,Proves Tracts 2 & 3 inception.
CUST-03,Final Receiver Receipt 3895,Image 0006,1905-05-04,1905-05-12,U.S. Land Office to Augustus P. Stevens,SW/4 Sec 32 (160 ac),Recorded Image,Partial (Receipt only; patent open),VERIFIED,Proves Tract 4 inception.
CUST-04,Biggs Receiver Receipt,Image 0004,1906-06-28,1906-08-08,U.S. Land Office to Velmore Biggs,SE/4 Sec 32 (160 ac),Recorded Image,Partial (Patent open),VERIFIED,Proves Tract 5 inception.
CUST-05,Garrett Base OGL,Bk 63/Pg 33,1947-11-13,1947-11-26,Cora B. & S.A. Garrett to C.E. McKinley,E/2 SE/4 (80 ac),Operative Recorded Original,Complete,VERIFIED,Establishes OGL 1 terms; HBP open.
CUST-06,Crook Base OGL,Bk 264/Pg 345,1972-02-05,1972-02-22,Charlie B. & Ima Crook to Union Oil Co.,NE/4 Sec 32 (160 ac),Operative Recorded Original,Complete,VERIFIED,Establishes OGL 2 terms; HBP open.
CUST-07,Crook Final Probate Decree,Bk 845/Pg 150,1985-10-23,1985-11-04,District Court to 5 Crook Heirs,NE/4 Sec 32 (160 ac),Certified Copy Image,Complete,VERIFIED,Vests 8.0 NMA each (40.0 NMA total).
CUST-08,Staghorn Master Assignment,Bk 1697/Pg 236,2001-08-20,2001-08-29,Staghorn Resources to Chesapeake Exploration,Section 32 scheduled lands,Recorded Image (Exhibit A partial),Incomplete Exhibit A,QUALIFIED,Modern leasehold bridge; Exhibit A required.
CUST-09,KL CHK to Diversified / OCM,Bk 2371/Pg 470,2022-01-12,2022-01-20,KL CHK SPV LLC to Diversified (51.25%) & OCM (48.75%),Section 32 properties,Recorded Image,Complete,VERIFIED,Establishes 51.25%/48.75% transaction branch split.
CUST-10,DP Sooner to Diversified,Bk 2400/Pg 551,2023-01-10,2023-01-19,DP Sooner HoldCo to Diversified Production LLC,Asset OK48147.001.1 (Pg 566),Recorded Image,Complete Schedule,VERIFIED,Proves Diversified is latest scheduled claimant.
CUST-11,Diversified to Teocalli,Bk 2434/Pg 751,2023-08-15,2023-08-25,Diversified / DP to Teocalli Exploration LLC,Unextracted,County Index Lead,Unobtained Packet,NOT_DETERMINED,P0 Curative; potential divestiture.
