Issue_ID,Severity,Blocks_Turn_In,Tract_ID,Title_Cell_or_Sheet_Row,Party,Instrument,Book_Page,Issue_Type,Issue_Description,Why_It_Matters,Needed_Document,Recommended_Action,Source_Checked,Confidence,Status
C-01,High,Yes,"1, 3, 4, 9","Title B13, B46, B58, B113","Ronald Paul Dold (successor to Nancy Susan Mitchell, deceased)",Affidavit of Heirship 2026-002509,2697/517,MISSING PROBATE,"Nancy Susan Mitchell died intestate 2/7/2015 (Shelby Co., TN); estate never probated. Dold is credited solely on an affidavit of heirship naming him as heir.","Affidavit-only intestate succession does not establish marketable title in Oklahoma; all Dold credits (T1 10.00, T3 5.38, T9 18.835) depend on it.","Oklahoma probate, ancillary probate, or district-court determination of heirs for Nancy Susan Mitchell",Require probate/DOH before crediting Dold as final; interests carried subject to curative,Runsheet row 548; Tract 9 grid row 25; OGL 65 prior-lease recital,"High (facts), Low (marketability)",OPEN
C-02,High,Yes,9,Title C113/C115,Ronald Paul Dold / balance owners undetermined,—,—,OVER-CREDIT (corrected) / MISSING ACQUISITION,Title formerly credited Dold 80.00 NMA on 75.34-acre Tract 9 with no chain support; corrected to chain-supported 18.835. Remaining 56.51 NMA undetermined (grid carries counter-booking artifacts).,Over-credit exceeded tract acreage and had no instrument support; balance ownership unknown.,"Instruments completing the Tract 9 chain (Mitchell/Williams family and successors); plat/GLO acreage for Lot 4, S/2 Lot 3",Complete chain reconciliation before allocating the 56.51 NMA balance,Tract 9 grid rows 10-53; Conveyance_Audit; Tract_Acreage_Check,High,CORRECTED ON TITLE; BALANCE OPEN
C-03,High,Yes,2,Title row 34 (removed),Keri Lee Daigle Tucker Trust,OGL 24 / OGL 67,1787/47; 2697/520,UNSUPPORTED OWNER / OGL TRACT MISMATCH,"0.33 NMA was shown on Tract 2 under OGL 24/67, but neither lease legal covers Tract 2 lands and the owner does not appear in the Tract 2 grid (which foots to 160.00 without her).",Including the row would over-credit Tract 2 beyond 160.00 and misstate lease coverage.,"Vesting instrument showing any Tucker Trust interest in SW/4 NE/4, W/2 SE/4, or SE/4 SE/4",Row removed from Title; reinstate only with instrument support,OGL register legals; Tract 2 grid SUMIF; Title_Owner_Check; NR#80,High,REMOVED FROM TITLE; OPEN
C-04,Medium,No,"3, 4, 5, 6, 7, 8, 9, 10","OGL col N (rows 2-5, 9-10, 13, 24-26, 41, 47, 49-51, 62-63, 66-70)",—,"OGL 1-4, 8, 9, 12, 23, 24, 25, 40, 46, 48, 49, 50, 61, 62, 65-69",various,OGL TRACT MISMATCH (corrected),"Register Tracts labels used a legacy 8-tract scheme; restated from recorded legal descriptions under the current 10-tract scheme (180-ac group = 3,4,7,10; OGL 62 = 8; 375-ac Mitchell group = 1,3,4,5,7,9,10).",Title-to-OGL tract checks failed against the old labels (D34/D104/D113).,Lease images to confirm restated coverage; plat for west-side strips,Confirm from images; no further title change expected,OGL register legals vs tract definitions,High (Medium for OGL 66 'NW/4' call),CORRECTED; CONFIRM FROM IMAGE
C-05,High,Yes,4,Title C63,Balance owners undetermined,—,—,MISSING SOURCE TITLE,Only 18.40 of 80.00 NMA allocated on Tract 4; 61.60 NMA unallocated.,Majority of tract ownership unproven.,Instruments completing the Tract 4 chain,Complete chain reconciliation,Tract 4 grid; Tract_Acreage_Check,High,OPEN
C-06,High,Yes,5,Title C73,Balance owners undetermined,—,—,MISSING SOURCE TITLE,Only 0.74 of 38.28 NMA allocated on Tract 5; 37.54 NMA unreconciled among competing chains.,Tract ownership substantially unproven.,Instruments completing the Tract 5 chain; plat for cutout geometry,Complete chain reconciliation; do not double-count Tracts 6/8 cutouts,Tract 5 grid; Tract_Acreage_Check,High,OPEN
C-07,High,Yes,7,Title B95/C95,Balance owners undetermined,—,—,MISSING SOURCE TITLE,36.85 of 40.00 NMA on Tract 7 carried as undetermined balance line.,Majority of tract ownership unproven.,Instruments reconciling the Tract 7 chain,Complete chain reconciliation,Tract 7 grid; Tract_Acreage_Check,High,OPEN
C-08,High,Yes,6,Title B81,"Ella Pearl Kirk, her estate, heirs, or successors",—,—,MISSING HEIRSHIP,48.80 NMA retained balance on Tract 6; estate/succession undetermined of record. Lease status also undetermined (OGL 62 covers Tract 8 only).,Cannot credit successors or lease status without probate/heirship.,"Ella Pearl Kirk probate, heirship affidavits, or succession instruments",Obtain estate documentation before final credit,Tract 6 block; NR#70/#72; SOURCE_QUEUE #22,High,OPEN
C-09,Medium,Yes,8,Title E104,Ella Pearl Kirk,OGL 62,1833/218,ROYALTY MISMATCH,Title shows 3/16 royalty; register royalty cell shows 3/16 but the register's lease notes do not recite a royalty — value may be a default fill.,Royalty drives NRI and division orders.,Lease image Bk 1833/0218,Confirm royalty from image,OGL row 63; NR#82; SOURCE_QUEUE #8,Medium,OPEN
C-10,High,Yes,All leased tracts,Title Expiration column; Well 1,—,Alexander #1-31 (API 35-129-22925),—,HBP NOT CONFIRMED,"Base leases are carried as HBP per well data of record and client direction; OCC well file, OTC gross production, pooling, and releases not confirmed (client reports well possibly inactive).","If the well is not producing, base leases may have expired and top leases (OGL 64-69) may be operative.",OCC well records; OTC gross production; pooling orders; releases,Confirm production status before relying on HBP conclusions,Well 1; Title_Well_HBP_Check; Change_Log stage 13,Low,OPEN
C-11,Medium,Yes,All,Well 1 K3,—,—,—,SPACING NOT CONFIRMED,640-acre spacing stated in workbook; no OCC order cited.,Spacing determines unit participation and HBP reach.,OCC spacing order for Sec 31-12N-24W,Obtain order number and attach,Well_640_Spacing_Check; SOURCE_QUEUE #11,Medium,OPEN
