Step,Date,Book_Page_Instrument,Parties,Face_Verified_Content,Branch,Depth_Formation_Wellbore_Limits,Exhibits_Schedules_Held,Search_Through,Decision,Reason
1,2001-02-01 / 2020-11-01,"1697/236-243 — Assignment, Conveyance and Bill of Sale",Staghorn Resources LLC -> Chesapeake Exploration Limited Partnership,Lease OK48147.001.1 is carried on the assignment,Chesapeake branch,Not stated at this step,Assignment face reviewed; schedule carrying OK48147.001.1 cited,"Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",APPLY,Earliest step tying asset OK48147.001.1 into the Chesapeake branch. Face reviewed. Retain.
2,2015 (rec.),2185/639 — Corrected Assignment (correcting 2183/174),Chesapeake Exploration LLC -> Linn Energy Holdings LLC,Wellbore/leasehold carve. Not FourPoint. One page of the packet carries a Section 32 stamp,Chesapeake branch — carve-out,Wellbore carve,Face reviewed; OK48147 is ABSENT from the carve exhibit,"Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",APPLY,Correctly treated as a carve that does not take OK48147.001.1. The express finding that OK48147 is absent from the carve exhibit is what keeps the asset in the main branch — keep it visible.
3,12/14/2020 10:33,"2340/403-433 — Assignment, Bill of Sale and Conveyance (I-2020-004435)","Chesapeake Exploration LLC, Chesapeake Operating LLC, MC Mineral Company LLC, Chesapeake Royalty LLC and related assignors -> TAPSTONE ENERGY LLC",70.73% to Tapstone Energy LLC (complementary to the 29.27%),Tapstone branch,Not stated,Assignment face reviewed; Exhibit A/B and Excluded Assets schedules NOT HELD,"Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",CURATIVE_REQUIRED,This is the PARALLEL branch. It must not be attributed to Diversified. Without Exhibit A and the Excluded Assets schedule it cannot be confirmed whether Section 32 leases sit in the 70.73% or the 29.27% side.
4,12/14/2020 14:47,"2340/490-519 — Assignment, Bill of Sale and Conveyance (I-2020-004462)",Same nine Chesapeake assignors -> KL CHK SPV LLC,"Section 1.1: ""an undivided twenty-nine and 27/100 percent (29.27%)"" of the described RTI",KL CHK SPV branch,Not stated,Face read of Section 1.1 only; Exhibit A/B/C and Excluded Assets schedules NOT HELD,"Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",CURATIVE_REQUIRED,"29.27% is face-verified as a percentage of a DESCRIBED RTI, not of Section 32. Without the exhibits the described RTI cannot be mapped to Section 32 leases, so no WI or NRI can be stated."
5,1/12/2022 12:16,2371/470-494 — Assignment (I-2022-000152),"KL CHK SPV LLC -> Diversified Production LLC AND OCM Denali Holdings, LLC","Page 2 (Book 2371 Pg 471): ""(x) to Diversified Production LLC ... 51.25%""; 48.75% to OCM Denali Holdings LLC",SPLIT — Diversified branch (51.25%) and OCM Denali branch (48.75%),Not stated,Face read of the split percentages; underlying exhibits NOT HELD,"Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",CURATIVE_REQUIRED,"The split is face-verified. Keep Diversified Production LLC and OCM Denali Holdings, LLC strictly separate. OCM Denali's 48.75% must never be folded into the Diversified position."
6,1/12/2022,2371/495-513 — Assignment (I-2022-000153) — PARALLEL BRANCH,"Tapstone Energy LLC and Tapstone Midstream LLC -> OCM Denali Holdings, LLC",Parallel OCM Denali branch running alongside the Diversified branch,OCM Denali branch,Not stated,Face reviewed; exhibits NOT HELD,"Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",APPLY,Confirms OCM Denali receives from BOTH the Tapstone branch and the KL CHK SPV branch. Reinforces that Denali is a separate claimant. Retain as a distinct row; do not merge.
7,2022-08 (rec.),2389/500-580 — Merger (I-2022-003506),Diversified / DP KL CHK Merger Co LLC / DP Legacy entities -> DP LEGACY TAPSTONE LLC,Succession of the scheduled branch,Diversified branch,Not stated,"Plan, definitions, schedules and EXCLUDED ASSETS schedules NOT HELD","Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",CURATIVE_REQUIRED,A merger with unheld excluded-assets schedules cannot be assumed to carry Section 32. This is the weakest link in the Diversified succession.
8,11/18/2022 8:22,2395/415-464 — Division / Conveyance (I-2022-004838); lease exhibit at Book 2395 Page 462,DP Legacy Tapstone LLC -> Diversified ABS VI Upstream LLC AND DP Sooner HoldCo LLC,Lease exhibit at page 462 carries OK48147.001.1,Diversified branch — split to two takers,Not stated,Lease exhibit page 462 held and cited,"Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",APPLY,Strongest single document tying OK48147.001.1 to the DP Sooner HoldCo side of the split. Retain and cite the exact exhibit page. Note the parallel taker (Diversified ABS VI Upstream LLC) is a DIFFERENT entity.
9,3/2/2023 13:36,2400/551-567 — Merger (I-2023-000796); schedule at Book 2400 Page 566,DP Sooner HoldCo LLC -> DIVERSIFIED PRODUCTION LLC,Page 566 is the SAME DP Sooner HoldCo lease exhibit,Diversified branch — final located step,Not stated,Schedule page 566 held and matched to 2395/462,"Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",APPLY,Closes the identity path into Diversified Production LLC. This is the LAST located step; the mineral/leasehold search-forward stops here at 03/02/2023.
10,POST-2400/551 — UNTRACED,2434/751; 2451/4; 2476/121; 2480/824,2434/751 Diversified Production LLC + DP Legacy Central LLC -> TEOCALLI EXPLORATION LLC (ASSN); 2451/4 Diversified Energy Company PLC memo; 2476/121 Diversified Production LLC + DP American Pharoah LLC + DP Ponit... memo; 2480/824 Diversified Production LLC + DP Legacy Central LLC affidavit,NOT READ. These appear in the Runsheet as index leads with 'recorded face required before reliance'.,Diversified branch — POSSIBLE CONVEYANCE OUT,Unknown,NONE HELD,"Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",CURATIVE_REQUIRED,"MATERIAL. 2434/751 is an ASSIGNMENT FROM Diversified Production LLC to Teocalli Exploration LLC recorded after the search-forward cutoff. If Section 32 leases are within it, Diversified may no longer hold the asset at the 08/05/2026 effective date. The face MUST be read before any Diversified interest is displayed as current. This single item can invalidate the report's central premise."
11,Arithmetic only,2340/490 Section 1.1 and 2371/471,n/a,"29.27% x 51.25% = 15.000875% (0.2927 x 0.5125 = 0.15000875 exactly); 51.25% = 41/80 is an arithmetic identity only — the recorded face states 51.25%, it does not use the fraction 41/80",Composite of two face-verified percentages,n/a,Both percentages face-read; neither is tied to Section 32 acreage,"Recorded corpus through Book 2400/551 (03/02/2023). Later Diversified-family filings (2434/751, 2451/4, 2476/121, 2480/824) appear in the Runsheet but were NOT traced into the WI analysis. No live search 03/2023-08/05/2026 (egress 403).",APPLY,"The workbook already labels this correctly: NOT a WI, NOT an NRI, NOT an ORRI, NOT NMA and NOT a final ownership decimal. Retain that warning adjacent and unaltered. Do not let it migrate into any interest column."
