Patch_ID,Sheet,Cell_or_Range,Current_Value_or_Formula,Proposed_Value_or_Formula,Change_Type,Source_Path_or_URL,Source_Hash,Source_Page_or_Image,Exact_Excerpt,Confidence,Formula_Impact,Reconciliation_Impact,Address_Type,Reason,Risk,Decision
P-001,Title,Title!68 — Mineral Owner cell,"Adolf Bollenbach, or his unlocated successors and assigns","Unresolved successors of Adolf Bollenbach (last proved record owner, WD 10/255, 01/31/1910) — chain gap remains unresolved",Owner display text — restore unresolved wording,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",ASSUMED: 65.000000 NMA residual vests in last traced record owner (WD 10/255); no chain-out located.,HIGH — the workbook's own V7 receipt and hidden PRESENT VESTING CONTROL sheet both classify this as unresolved,NONE — text cell only; Net Acres value unchanged at 65.000000,"NONE — NMA unchanged, tract total continues to foot to the tract acreage",No address of record,Section 4: a named party with no supported conveyance or vesting into it is not a proved current owner. The V7 receipt states these placeholder rows were deliberately converted from UNRESOLVED RESIDUAL / UNRESOLVED RECORD OWNER into named parties. Restore expressly unresolved wording and identify visually as unresolved.,CRITICAL if left as-is — a reader treats an assumed successor as a located owner,APPLY
P-002,Title,Title!73 — Mineral Owner cell,Five issue of Charlie B. Crook (collective row - chained out),Five issue of Charlie B. Crook (collective row - chained out) [superseded audit row — must not appear in the present-owner schedule],Visual segregation of superseded audit row,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",Chained out: distributed individually per DECR 845/149-153 and 845/152 clause (h); retained at 0 NMA for audit.,HIGH,NONE,NONE — row already carries 0.000000 NMA,Address not located,"Superseded collective row correctly retained for audit at 0 NMA, but it sits inside the present-owner block and reads as a current owner. Segregate it visually.",MEDIUM,APPLY
P-003,Title,Title!78 — Mineral Owner cell,"Beneficiaries of Ellen W. Crook (13 named, DECR 83/259)",Unresolved probate beneficiaries under Decree 83/259 (Estate of Ellen W. Crook) — individual allocations not stated on the decree face,Owner display text — restore unresolved wording,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",ASSUMED: 40.000000 NMA vests collectively per decree; individual allocations not stated on the face.,HIGH — the workbook's own V7 receipt and hidden PRESENT VESTING CONTROL sheet both classify this as unresolved,NONE — text cell only; Net Acres value unchanged at 40.000000,"NONE — NMA unchanged, tract total continues to foot to the tract acreage",No address of record,Section 4: a named party with no supported conveyance or vesting into it is not a proved current owner. The V7 receipt states these placeholder rows were deliberately converted from UNRESOLVED RESIDUAL / UNRESOLVED RECORD OWNER into named parties. Restore expressly unresolved wording and identify visually as unresolved.,CRITICAL if left as-is — a reader treats an assumed successor as a located owner,APPLY
P-004,Title,Title!79 — Mineral Owner cell,Grantee of the F. L. Randel 1.5-acre deed (img 1794),Unresolved record owner — grantee of the F. L. Randel 1.5-acre deed (img 1794); grantee name not read from the face,Owner display text — restore unresolved wording,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",ASSUMED: holds 1.500000 NMA per the recorded deed; grantee name not extracted from the face.,HIGH — the workbook's own V7 receipt and hidden PRESENT VESTING CONTROL sheet both classify this as unresolved,NONE — text cell only; Net Acres value unchanged at 1.500000,"NONE — NMA unchanged, tract total continues to foot to the tract acreage",No address of record,Section 4: a named party with no supported conveyance or vesting into it is not a proved current owner. The V7 receipt states these placeholder rows were deliberately converted from UNRESOLVED RESIDUAL / UNRESOLVED RECORD OWNER into named parties. Restore expressly unresolved wording and identify visually as unresolved.,CRITICAL if left as-is — a reader treats an assumed successor as a located owner,APPLY
P-005,Title,Title!103 — Mineral Owner cell,Successors of the Farrar NW/4 fee (Farrar-to-Maddoux chain),Untraced successor interest in the Farrar N/2 NW/4 fee — connecting instrument not located,Owner display text — restore unresolved wording,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",ASSUMED: 12.166667 NMA carried in the Farrar fee chain; connecting instrument not located.,HIGH — the workbook's own V7 receipt and hidden PRESENT VESTING CONTROL sheet both classify this as unresolved,NONE — text cell only; Net Acres value unchanged at 12.166667,"NONE — NMA unchanged, tract total continues to foot to the tract acreage",No address of record,Section 4: a named party with no supported conveyance or vesting into it is not a proved current owner. The V7 receipt states these placeholder rows were deliberately converted from UNRESOLVED RESIDUAL / UNRESOLVED RECORD OWNER into named parties. Restore expressly unresolved wording and identify visually as unresolved.,CRITICAL if left as-is — a reader treats an assumed successor as a located owner,APPLY
P-006,Title,Title!104 — Mineral Owner cell,"Maurice Sanditen, or his successors and assigns",Unresolved successors of Maurice Sanditen (index reference 92/468; later family instruments unread),Owner display text — restore unresolved wording,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",ASSUMED: 6.750000 NMA per 92/468 (index) and later family instruments not read.,HIGH — the workbook's own V7 receipt and hidden PRESENT VESTING CONTROL sheet both classify this as unresolved,NONE — text cell only; Net Acres value unchanged at 6.750000,"NONE — NMA unchanged, tract total continues to foot to the tract acreage",No address of record,Section 4: a named party with no supported conveyance or vesting into it is not a proved current owner. The V7 receipt states these placeholder rows were deliberately converted from UNRESOLVED RESIDUAL / UNRESOLVED RECORD OWNER into named parties. Restore expressly unresolved wording and identify visually as unresolved.,CRITICAL if left as-is — a reader treats an assumed successor as a located owner,APPLY
P-007,Title,Title!111 — Mineral Owner cell,Successors of G. B. and Ola Keathley,Unresolved successors of G. B. and Ola Keathley — residue exposed by Decree P-76-78,Owner display text — restore unresolved wording,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 3",ASSUMED: 13.333333 NMA residue exposed by DECR P-76-78 vests in untraced Keathley successors.,HIGH — the workbook's own V7 receipt and hidden PRESENT VESTING CONTROL sheet both classify this as unresolved,NONE — text cell only; Net Acres value unchanged at 13.333333,"NONE — NMA unchanged, tract total continues to foot to the tract acreage",No address of record,Section 4: a named party with no supported conveyance or vesting into it is not a proved current owner. The V7 receipt states these placeholder rows were deliberately converted from UNRESOLVED RESIDUAL / UNRESOLVED RECORD OWNER into named parties. Restore expressly unresolved wording and identify visually as unresolved.,CRITICAL if left as-is — a reader treats an assumed successor as a located owner,APPLY
P-008,Title,Title!141 — Mineral Owner cell,Successors of the Stevens interest (Stevens-to-Maddoux chain),Untraced successor interest — Stevens-to-Maddoux chain; connecting instrument not located,Owner display text — restore unresolved wording,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",ASSUMED: 14.166667 NMA carried in the Stevens chain; connecting instrument not located.,HIGH — the workbook's own V7 receipt and hidden PRESENT VESTING CONTROL sheet both classify this as unresolved,NONE — text cell only; Net Acres value unchanged at 14.166667,"NONE — NMA unchanged, tract total continues to foot to the tract acreage",No address of record,Section 4: a named party with no supported conveyance or vesting into it is not a proved current owner. The V7 receipt states these placeholder rows were deliberately converted from UNRESOLVED RESIDUAL / UNRESOLVED RECORD OWNER into named parties. Restore expressly unresolved wording and identify visually as unresolved.,CRITICAL if left as-is — a reader treats an assumed successor as a located owner,APPLY
P-009,Title,Title!148 — Mineral Owner cell,Successors of the Stevens interest (Stevens-to-LeGrand chain),Untraced successor interest — Stevens-to-LeGrand chain; connecting instrument not located,Owner display text — restore unresolved wording,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 5",ASSUMED: 35.000000 NMA carried in the Stevens chain; connecting instrument not located.,HIGH — the workbook's own V7 receipt and hidden PRESENT VESTING CONTROL sheet both classify this as unresolved,NONE — text cell only; Net Acres value unchanged at 35.000000,"NONE — NMA unchanged, tract total continues to foot to the tract acreage",No address of record,Section 4: a named party with no supported conveyance or vesting into it is not a proved current owner. The V7 receipt states these placeholder rows were deliberately converted from UNRESOLVED RESIDUAL / UNRESOLVED RECORD OWNER into named parties. Restore expressly unresolved wording and identify visually as unresolved.,CRITICAL if left as-is — a reader treats an assumed successor as a located owner,APPLY
P-010,Title,Title!156 — Mineral Owner cell,"Cora B. Garrett and S. A. Garrett, or unlocated successors",Unresolved successors of Cora B. Garrett and S. A. Garrett (OGL 1 lessors of record) — succession untraced,Owner display text — restore unresolved wording,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",ASSUMED: 27.674000 NMA residual vests in OGL 1 lessors of record; succession untraced.,HIGH — the workbook's own V7 receipt and hidden PRESENT VESTING CONTROL sheet both classify this as unresolved,NONE — text cell only; Net Acres value unchanged at 27.674000,"NONE — NMA unchanged, tract total continues to foot to the tract acreage",No address of record,Section 4: a named party with no supported conveyance or vesting into it is not a proved current owner. The V7 receipt states these placeholder rows were deliberately converted from UNRESOLVED RESIDUAL / UNRESOLVED RECORD OWNER into named parties. Restore expressly unresolved wording and identify visually as unresolved.,CRITICAL if left as-is — a reader treats an assumed successor as a located owner,APPLY
