Category,Name,Location,File_Id_Or_Path,Reported_Size_Bytes,Mime_Or_Type,Modified,SHA256,Retrieval_Status,Used_For,Note
DECLARED CONTROL — NOT LOCATED,V7 lineage control workbook,Declared by task; not found in any reachable source,expected SHA-256 c04f49bdcb0dc0b2b66e7883fceb16e736046b88c42a336f3bf696eefd22e6900 (as given),"726,715",xlsx,n/a,NOT COMPUTABLE — file not downloaded as a binary; Drive-reported size recorded instead,NOT LOCATED,Lineage control — UNAVAILABLE,"UNRESOLVED-01. No file of this size or hash exists in the repository, the container filesystem, or Google Drive. Not verifiable from this environment."
DECLARED CONTROL — NOT LOCATED,Newest visual donor workbook,Declared by task; not found in any reachable source,expected SHA-256 5166b7001d35c6e374f5c430a0e555fb743461b8d0f9607827f60d29265c419a (as given),"548,120",xlsx,n/a,NOT COMPUTABLE — file not downloaded as a binary; Drive-reported size recorded instead,NOT LOCATED,Visual donor — UNAVAILABLE,"UNRESOLVED-01. Nearest Drive candidates by size are 550,810 and 558,839 bytes — neither matches."
PRIMARY WORKING SOURCE,Section_3211N25W_..._BACKWARDS_TITLE_V7 (Google Sheets conversion),Google Drive root,1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw,"304,099",google-apps.spreadsheet,2026-08-06T09:01:13Z,NOT COMPUTABLE — file not downloaded as a binary; Drive-reported size recorded instead,"READ IN FULL (757,657 characters, 28 sheets)",Every register in this packet,"The report under audit. Full content extracted to 01_INPUT_INVENTORY/V7_WORKBOOK_DUMP.txt and normalised to V7_WORKBOOK_CLEAN.txt (1,846 rows)."
PRIMARY WORKING SOURCE,SECTION32_BACKWARDS_TITLE_V7_RECEIPT.txt,Google Drive root,1j4OZXRVCVhIYNq3kKAxROBcl4Y2OPiB8,"3,301",text/plain,2026-08-06T09:00:56Z,NOT COMPUTABLE — file not downloaded as a binary; Drive-reported size recorded instead,READ IN FULL,Owner-defect identification; lineage reconciliation,"Declares V7 xlsx a0bff0eb205e0c8d152f36aaddb738fe6dc0604f01189f772359041fa6f28fe9 at 551,877 bytes — CONFLICTS with the declared lineage control. Also states expressly that eleven placeholder unresolved rows were converted into named parties."
PROJECT SOURCE ROOT,Google Drive project source folder,Google Drive,1WiB-VquRfVjbDdyxfvL66hDxYfuC2AJO,n/a,folder,2026-07-13,NOT COMPUTABLE — file not downloaded as a binary; Drive-reported size recorded instead,LISTED,Source inventory,"Contains Index, Section Notes, Plat Map, Tax Roll, Images_Archives_0001-4893, drive_command_center, SOURCE_PACKAGE_SHA256SUMS.txt, MASTER TITLE ABSTRACT."
COUNTY INDEX,Protocoled Index.pdf,Google Drive / Index,1KIalU2LcxEPl2BkZ6EM39q48rHTaEqOI,"101,161,176",application/pdf,2026-07-10,NOT COMPUTABLE — file not downloaded as a binary; Drive-reported size recorded instead,NOT READ — 101 MB exceeds readable size in this session,Would support Runsheet legal restoration,The Beckham County index for the section. Reading it is the primary route to restoring the 166 missing Runsheet legal descriptions without county access.
COUNTY INDEX,Blank Index.pdf,Google Drive / Index,1YLHj4eULUphrAprUGHJWgVxg0VfzKTuc,"99,971,473",application/pdf,2026-07-10,NOT COMPUTABLE — file not downloaded as a binary; Drive-reported size recorded instead,NOT READ — 100 MB exceeds readable size in this session,Would support Runsheet legal restoration,Companion index volume.
PROJECT SOURCE,Section Notes.xlsx,Google Drive / Section Notes,1fqr-BBzzZNH6D-zamrUfcPV0fPAlg7X-,"52,670",xlsx,2026-07-10,NOT COMPUTABLE — file not downloaded as a binary; Drive-reported size recorded instead,NOT READ this session,Would corroborate tract chains,Small enough to read; deferred as the V7 workbook already carries the chain detail it feeds.
IMAGE CORPUS,Images_Archives_0001-4893,Google Drive,1Q3ZmwoPLWZbm-xC3jYUrFVShMipP4Svs,"4,893 title images",folder,2026-07-10,NOT COMPUTABLE — file not downloaded as a binary; Drive-reported size recorded instead,"LISTED, NOT PAGED",Instrument face reads,"The recorded-instrument face corpus. Individual image reads (e.g. img 0353 for OGL 1, imgs 1457-1458 for OGL 3, img 1558 for MD 367/632, imgs 1940-1943 for the Union assignment exhibits, img 1794 for the Randel deed) are the route to face-verifying the five unheld OGL faces."
PROJECT SOURCE,Tax Roll,Google Drive,1pIqq1gFwO-z1mujqHItdRLKsKCyyVUJA,n/a,folder,2026-07-10,NOT COMPUTABLE — file not downloaded as a binary; Drive-reported size recorded instead,"LISTED, NOT READ",Would support current-address research,The county tax roll is the single best held source for current mineral-owner addresses and was not reached this session.
